"url";"name";"type";"address";"gps"
"http://www.restopolitan.com/en/restaurant/saint-ouen-l-aumone-1133/del-roma-303925.html";"Del Roma";"Italian";"9, allée des Trois Caravelles, 95310 Saint Ouen L'Aumone";"49.046301/2.1339427"
"http://www.restopolitan.com/en/restaurant/paris-11eme-457/bistrot-beyrouth-302512.html";"Bistrot Beyrouth";"Lebanese";"103, rue de Charonne, 75011 ,Paris";"48.8545826/2.384556"
"http://www.restopolitan.com/en/restaurant/paris-18eme-464/patakrep-303583.html";"PataKrep";"French";"89, rue Duhesme, 75018 ,Paris";"48.8945691/2.3441669"
"http://www.restopolitan.com/en/restaurant/paris-14eme-460/le-bistro-t-304201.html";"Le Bistro T";"Bistrot Gourmand";"17 bis, rue Campagne Première, 75014 ,Paris";"48.8396417/2.3324747"
"http://www.restopolitan.com/en/restaurant/paris-17eme-463/kanon-303307.html";"Kanon";"Brewery";"9, rue du Général Lanrezac, 75017 ,Paris";"48.8764898/2.29412"
"http://www.restopolitan.com/en/restaurant/paris-2eme-448/clyde-303608.html";"Clyde";"Brewery";"36, rue Vivienne, 75002 ,Paris";"48.8707741/2.3411912"
"http://www.restopolitan.com/en/restaurant/paris-17eme-463/scoop-cafe-301334.html";"Scoop Café";"French";"117, rue des Dames, 75017 ,Paris";"48.8826868/2.3171115"
"http://www.restopolitan.com/en/restaurant/sarcelles-1104/le-shine-sarcelles-301115.html";"Le Shine Sarcelles";"Chinese";"83 avenue Paul Valéry, 95200 Sarcelles";"48.9778053/2.3898397"
"http://www.restopolitan.com/en/restaurant/versailles-1336/gandhi-301010.html";"Gandhi";"Indian";"18 rue du Pain , 78000 Versailles";NA
"http://www.restopolitan.com/en/restaurant/paris-9eme-455/la-mannette-drouot-303433.html";"La Mannette Drouot";"Brewery";"11 rue Rossini, 75009 ,Paris";"48.8729574/2.3397222"
"http://www.restopolitan.com/en/restaurant/boulogne-billancourt-374/il-gattopardo-303295.html";"Il Gattopardo";"Italian";"41, rue Carnot, 92100 Boulogne Billancourt";"48.8341469/2.2398456"
"http://www.restopolitan.com/en/restaurant/paris-16eme-462/il-toscano-303465.html";"Il Toscano";"Italian";"42, rue Hamelin, 75016 ,Paris";NA
"http://www.restopolitan.com/en/restaurant/paris-12eme-458/port-louis-302513.html";"Port-Louis";"Bistrot Gourmand";"12, rue Claude Tillier, 75012 ,Paris";"48.8480205/2.3879235"
"http://www.restopolitan.com/en/restaurant/paris-20eme-466/au-metro-des-lilas-303513.html";"Au Métro des Lilas";"French";"261 Avenue Gambetta, 75020 ,Paris";"48.8767912/2.4062714"
"http://www.restopolitan.com/en/restaurant/versailles-1336/rajbari-301950.html";"Rajbari";"Indian";"2, rue Philippe de Dangeau, 78000 Versailles";"48.803665/2.1329144"
"http://www.restopolitan.com/en/restaurant/paris-17eme-463/le-petit-maillot-303563.html";"Le Petit Maillot";"French";"269 boulevard Pereire, 75017 ,Paris";"48.878178/2.2852529"
"http://www.restopolitan.com/en/restaurant/paris-15eme-461/la-petite-bretagne-302327.html";"La Petite Bretagne";"Bistrot Gourmand";"20, rue du Cotentin, 75015 ,Paris";"48.8387497/2.3150044"
